,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
281,-144.6150453,57.9738965,1,MDO1,MDO1,8/1/2018 9:44,213,17744.40539,2018,2,8/1/2018 6:39,8/1/2018 12:50,-976.6921066,1102.168999,-4.96,1,281,147.1327645,188287.4598,0.43904893,0.905712556,3464.81266,0,11.53999996,0.179999992,12.056,-0.516000038,0.968570106,1,0.968570106,17744.40612,8,12,-5.58,0.944730501,TRUE
795,-143.917611,57.995929,1,MDO1,MDO1,8/1/2018 21:41,213,17744.90201,2018,1,8/1/2018 12:35,8/2/2018 6:48,231.0076267,140.7480989,-6.11,2,295,-56.73458148,184841.1008,0.184138283,4.217676894,730.4222421,0,11.09999943,0.189999998,12.056,-0.956000572,0.935746988,0.963791696,0.901865177,17744.90416,8,11.80000019,-5.13,0.912742712,TRUE
1278,-146.0008242,57.77197615,1,MDO1,MDO1,8/2/2018 9:50,214,17745.41073,2018,2,8/2/2018 6:44,8/2/2018 12:55,-64.17622782,-75.28159814,-5.34,3,278,-177.3016418,260517.0967,0.29991529,6.023879961,720.7898631,0,11.5199995,0.189999998,13.107,-1.587000496,0.865633792,0.972057607,0.841445913,17745.40992,8,12.19999933,-4.54,0.870392449,TRUE
1900,-146.795631,57.6785766,1,MDO1,MDO1,8/2/2018 21:53,214,17745.91378,2018,1,8/2/2018 12:56,8/3/2018 6:50,-9.88221171,-279.471981,-5.72,4,400,102.002278,179887.649,0.276755153,4.233673942,708.1621128,0,12.30999947,0.269999981,13.107,-0.797000534,0.926797624,1,0.926797624,17745.9121,8,12.37999964,-5.08,0.901859,TRUE
2045,-147.481902,57.78690263,1,MDO1,MDO1,8/3/2018 9:56,215,17746.41583,2018,2,8/3/2018 6:52,8/3/2018 13:00,-148.6475063,-171.1534548,-5.71,5,45,-179.5020729,113985.943,0.209139469,2.638463487,720.0272907,0,12.82999992,0.289999992,13.135,-0.305000076,0.941605871,1,0.941605871,17746.41398,8,12.65499973,-4.79,0.908139861,TRUE
2646,-147.6604691,57.68993829,1,MDO1,MDO1,8/3/2018 21:56,215,17746.91632,2018,1,8/3/2018 13:02,8/4/2018 6:51,-23.28227413,-299.9530821,-5.74,6,146,-88.87969193,64913.28819,0.048774178,1.493682047,724.3095267,0,12.40999985,0.299999982,13.135,-0.725000153,0.920546012,1,0.920546012,17746.91445,8,12.69999981,-5.035,0.898084002,TRUE
3477,-147.9455639,57.66726074,1,MDO1,MDO1,8/4/2018 9:57,216,17747.41608,2018,2,8/4/2018 6:55,8/4/2018 13:00,-29.22816502,-120.369111,-6.19,7,477,178.9920809,164143.3259,0.177618432,3.80086991,719.7620972,0,11.53999996,0.179999992,12.625,-1.085000038,0.923470327,1,0.923470327,17747.41521,8,12.35999966,-5.315,0.909780044,TRUE
3538,-147.9916169,57.69630044,1,MDO1,MDO1,8/4/2018 21:58,216,17747.91611,2018,1,8/4/2018 13:13,8/5/2018 6:42,682.1791577,-821.4423997,-5.05,8,38,-18.05248047,131315.2729,0.294559442,3.028427843,722.6812045,0,11.53999996,0.179999992,12.625,-1.085000038,0.923470327,1,0.923470327,17747.9153,8,12.11999989,-5.335,0.913036268,TRUE
4192,-147.371479,58.00526678,1,MDO1,MDO1,8/5/2018 9:55,217,17748.41296,2018,2,8/5/2018 6:57,8/5/2018 12:53,52.11990758,49.91890578,-6.54,9,192,4.272136067,73910.27657,0.319842475,1.711888991,719.5781675,0,12.32999992,0.159999996,13.702,-1.372000076,0.896778297,1,0.896778297,17748.41355,8,12.46000004,-5.705,0.88245596,TRUE
4602,-146.1317128,58.15079031,1,MDO1,MDO1,8/5/2018 21:50,217,17748.91082,2018,1,8/5/2018 12:53,8/6/2018 6:47,24.316206,-153.7136539,-6.15,10,102,166.6288761,221299.9116,0.467806263,5.147913042,716.4712824,0,12.94999981,0.159999996,13.702,-0.752000191,0.957128004,1,0.957128004,17748.91007,8,12.92000008,-5.26,0.921545618,TRUE
5038,-148.6665335,57.62400879,1,MDO1,MDO1,8/6/2018 10:00,218,17749.4178,2018,2,8/6/2018 6:44,8/6/2018 13:16,-322.8046423,196.5098694,-5.43,11,38,-106.0034069,217628.9381,0.486989273,4.941922447,733.9550566,0,11.98999977,0.209999993,12.777,-0.787000229,0.940687888,1,0.940687888,17749.41707,8,12.22999954,-4.85,0.945932872,TRUE
5610,-149.1443933,57.59900027,1,MDO1,MDO1,8/6/2018 22:02,218,17749.91958,2018,1,8/6/2018 13:14,8/7/2018 6:50,59.3068593,-270.2134757,-5.98,12,110,23.86705139,224093.1147,0.37954444,5.23183094,713.8772808,0,12.27999973,0.209999993,12.777,-0.497000267,0.957629811,1,0.957629811,17749.91836,8,12.23999977,-5.18,0.942982989,TRUE
6471,-149.2201431,57.97740394,1,MDO1,MDO1,8/7/2018 10:02,219,17750.41911,2018,2,8/7/2018 6:49,8/7/2018 13:15,-342.5242234,242.318556,-5.7,13,471,38.36189223,44867.44474,0.352721556,1.041406644,718.0583588,0,12.46000004,0.140000001,12.812,-0.351999962,0.987522763,1,0.987522763,17750.41853,8,12.67999935,-5.385,0.965188922,TRUE
6894,-148.8843788,57.76974469,1,MDO1,MDO1,8/7/2018 22:01,219,17750.91768,2018,1,8/7/2018 13:18,8/8/2018 6:43,405.1757206,-428.2164695,-5.58,14,394,-24.0627954,189828.9079,0.237650856,4.363048502,725.1386572,0,12.92999935,0.140000001,12.812,0.117999352,0.99297737,1,0.99297737,17750.91755,8,12.80999947,-5.45,0.967228463,TRUE
7303,-148.923348,57.83958037,1,MDO1,MDO1,8/8/2018 10:01,220,17751.41786,2018,2,8/8/2018 6:47,8/8/2018 13:15,-234.1968733,191.8290801,-5.96,15,303,-23.12772085,172343.6124,0.309885532,3.964690661,724.4937337,0,13.07999992,0.129999995,13.091,-0.011000076,0.993643931,1,0.993643931,17751.41761,8,13.07999992,-5.37,0.969144425,TRUE
7655,-149.8360215,58.16805417,1,MDO1,MDO1,8/8/2018 22:04,220,17751.9232,2018,1,8/8/2018 13:15,8/9/2018 6:54,193.0282053,-728.5163267,-6.21,16,155,-28.93781266,176087.5843,0.366795699,4.043962878,725.7220603,0,11.84999943,0.119999997,13.091,-1.241000572,0.921907217,1,0.921907217,17751.9201,8,12.52999973,-5.725,0.945915398,TRUE
8267,-147.6442388,59.27359131,1,MDO1,MDO1,8/9/2018 9:56,221,17752.4132,2018,2,8/9/2018 7:01,8/9/2018 12:50,-296.0694496,429.1802642,-6.98,17,267,77.41362012,211599.774,0.406888553,4.9992554,705.4376337,0,13.25,0.119999997,13.135,0.115,0.996146407,1,0.996146407,17752.41397,8,13.6449995,-6.41,0.957007365,TRUE
8513,-146.4935086,59.18782239,1,MDO1,MDO1,8/9/2018 21:51,221,17752.90812,2018,1,8/9/2018 12:50,8/10/2018 6:51,442.6489066,6.413679398,-6.76,18,13,84.692973,209938.8987,0.246317984,4.961028677,705.2935738,0,13.68999958,0.159999996,13.135,0.55499958,0.969394087,1,0.969394087,17752.91072,8,13.54999924,-6.135,0.963926767,TRUE
9041,-146.2657011,59.28441846,1,MDO1,MDO1,8/10/2018 9:50,222,17753.40815,2018,2,8/10/2018 6:49,8/10/2018 12:51,-154.2716556,479.1447067,-6.67,19,41,54.53249283,39508.18395,0.115760691,0.917512641,717.6682951,0,13.84999943,0.119999997,12.775,1.074999428,0.940062351,1,0.940062351,17753.41004,8,13.71000004,-6.18,0.935894458,TRUE
9511,-144.2401713,58.84994707,1,MDO1,MDO1,8/10/2018 21:42,222,17753.89946,2018,1,8/10/2018 13:21,8/11/2018 6:02,2275.58908,-1430.128491,-3.47,20,11,136.2080361,106730.7573,0.224322925,2.488575636,714.8048581,0,13.96999931,0.119999997,12.775,1.194999313,0.927162427,1,0.927162427,17753.90436,8,13.89999962,-5.275,0.91075438,TRUE
10011,-145.5172232,58.35431412,1,MDO1,MDO1,8/11/2018 9:47,223,17754.40818,2018,2,8/11/2018 6:10,8/11/2018 13:24,-995.0385933,936.9733027,-4.13,21,11,-126.0881892,92517.914,0.238586802,2.126763671,725.028951,0,14.23999977,0.140000001,12.08,2.159999771,0.784102478,1,0.784102478,17754.40785,8,13.82999992,-4.83,0.831285822,TRUE
10541,-145.3432883,58.26589757,1,MDO1,MDO1,8/11/2018 21:46,223,17754.90652,2018,1,8/11/2018 13:12,8/12/2018 6:20,233.8509801,-97.04381376,-5.44,22,41,27.55148841,47912.40945,0.169613,1.111541543,718.4078386,0,14.36999989,0.140000001,12.08,2.289999886,0.761709825,1,0.761709825,17754.90731,8,13.84499979,-4.8,0.828232722,TRUE
11124,-146.0498938,58.21072145,1,MDO1,MDO1,8/12/2018 9:49,224,17755.40975,2018,2,8/12/2018 6:08,8/12/2018 13:29,-778.6125074,685.6727972,-4.16,23,124,165.0682951,26882.98266,0.138935577,0.622771033,719.4453296,0,14.11999989,0.419999987,12.895,1.224999886,0.856689536,1,0.856689536,17755.40921,8,13.69999981,-4.525,0.87688237,TRUE
11979,-146.0056981,58.26918497,1,MDO1,MDO1,8/12/2018 21:49,224,17755.90972,2018,1,8/12/2018 13:20,8/13/2018 6:17,140.4930063,-259.2161966,-5.18,24,479,-143.1442281,60151.71223,0.097462407,1.387828509,722.3720588,0,14.11999989,0.419999987,12.895,1.224999886,0.856689536,1,0.856689536,17755.90903,8,13.69999981,-4.645,0.879911643,TRUE
12481,-146.0375384,58.20870684,1,MDO1,MDO1,8/13/2018 9:49,225,17756.4083,2018,2,8/13/2018 6:19,8/13/2018 13:18,-142.997805,273.8705816,-5.54,25,481,33.19904143,52135.69826,0.145441644,1.210257282,717.9699037,0,13.71999931,0.25,11.694,2.025999313,0.789983067,1,0.789983067,17756.40906,8,13.38999939,-5.025,0.819101271,TRUE
12966,-146.1173106,58.1958615,1,MDO1,MDO1,8/13/2018 21:49,225,17756.90797,2018,1,8/13/2018 13:16,8/14/2018 6:22,149.1391041,66.22394701,-5.93,26,466,-79.19918785,55386.89936,0.149937496,1.275709831,723.6089012,0,13.71999931,0.25,11.694,2.025999313,0.789983067,1,0.789983067,17756.90922,8,13.40999985,-5.195,0.82503151,TRUE
13047,-145.9482171,58.30249874,1,MDO1,MDO1,8/14/2018 9:48,226,17757.40759,2018,2,8/14/2018 6:22,8/14/2018 13:14,102.7845695,86.48531894,-6.13,27,47,116.1715103,115497.9929,0.200129469,2.70043374,712.8360599,0,13.55999947,0.159999996,12.16,1.399999466,0.893342574,1,0.893342574,17757.40868,8,13.23999977,-5.385,0.912605706,TRUE
13982,-147.2002033,58.43144042,1,MDO1,MDO1,8/14/2018 21:53,226,17757.91484,2018,1,8/14/2018 13:12,8/15/2018 6:34,-20.83666322,-454.6353482,-6.86,28,482,-17.24436782,150575.4895,0.197717209,3.471273077,722.9599736,0,12.34000015,0.149999991,12.16,0.180000153,0.985789227,1,0.985789227,17757.91209,8,12.63999939,-6.22,0.934132193,TRUE
14215,-147.7568286,58.58089033,1,MDO1,MDO1,8/15/2018 9:55,227,17758.41493,2018,2,8/15/2018 6:30,8/15/2018 13:20,-659.0939802,424.1091497,-6.35,29,215,-43.4043165,197096.1068,0.180813837,4.504752816,729.2153972,0,12.55000019,0.119999997,11.625,0.925000191,0.957526874,0.762263181,0.729887481,17758.41357,8,12.61999989,-6.175,0.912234271,TRUE
14992,-145.1045676,58.49028554,1,MDO1,MDO1,8/15/2018 21:44,227,17758.89961,2018,1,8/15/2018 13:48,8/16/2018 5:40,2147.106023,-1019.907161,-2.4,30,492,129.874781,214655.6197,0.276919339,5.048815163,708.6006413,0,13.57999992,0.129999995,11.625,1.954999924,0.822158025,1,0.822158025,17758.90613,8,13.5449996,-3.89,0.791669176,TRUE
15140,-144.3147051,57.29488495,1,MDO1,MDO1,8/16/2018 9:41,228,17759.4035,2018,2,8/16/2018 5:32,8/16/2018 13:50,-1503.705603,1568.497847,-2.6,31,140,174.2677032,206043.6866,0.523984602,4.779263107,718.5336664,0,13.85999966,0.119999997,12.417,1.442999657,0.89689904,1,0.89689904,17759.40387,8,13.65999985,-4.54,0.905990905,TRUE
15820,-146.5061961,57.49433993,1,MDO1,MDO1,8/16/2018 21:50,228,17759.91035,2018,1,8/16/2018 13:36,8/17/2018 6:03,752.9560266,-834.0738697,-5.16,32,320,-25.54415887,346949.3949,0.463794183,7.9226068,729.8721317,0,13.52999973,0.149999991,12.417,1.112999733,0.928344198,1,0.928344198,17759.90988,8,13.10999966,-5.515,0.951934566,TRUE
16256,-145.8715078,57.84172001,1,MDO1,MDO1,8/17/2018 9:47,229,17760.40692,2018,2,8/17/2018 6:04,8/17/2018 13:30,-770.2740861,964.8688296,-5.49,33,256,9.446637924,138416.5864,0.202975258,3.211381823,718.3646274,0,13.84000015,0.159999996,13.007,0.833000153,0.954108931,1,0.954108931,17760.40805,8,13.35999966,-5.905,0.970723135,TRUE
16765,-146.759461,58.47276583,1,MDO1,MDO1,8/17/2018 21:51,229,17760.91175,2018,1,8/17/2018 13:24,8/18/2018 6:17,615.8025934,-841.9272378,-6.24,34,265,-149.3114954,103092.3856,0.260444126,2.374861411,723.4975555,0,12.71000004,0.129999995,13.007,-0.296999962,0.992402927,1,0.992402927,17760.91044,8,13.10999966,-6.23,0.977287185,TRUE
17001,-148.0830844,58.34786808,1,MDO1,MDO1,8/18/2018 9:56,230,17761.41699,2018,2,8/18/2018 6:17,8/18/2018 13:35,-837.8342411,327.7600614,-5.92,35,1,58.07839598,55378.53013,0.294957318,1.287849341,716.6797179,0,12.86999989,0.149999991,12.812,0.057999886,0.987214822,1,0.987214822,17761.41404,8,12.88000011,-5.84,0.960021388,TRUE
17980,-146.6494191,58.24135833,1,MDO1,MDO1,8/18/2018 21:50,230,17761.9088,2018,1,8/18/2018 13:33,8/19/2018 6:07,232.4276241,-28.07095612,-5.69,36,480,80.28356874,154339.9423,0.295923524,3.625423635,709.5260117,0,12.82999992,0.170000002,12.812,0.017999924,0.981173247,1,0.981173247,17761.90998,8,13.22999954,-5.085,0.959503729,TRUE
18392,-146.2205263,57.99846764,1,MDO1,MDO1,8/19/2018 9:48,231,17762.40673,2018,2,8/19/2018 6:08,8/19/2018 13:28,32.64871586,309.3425367,-6.27,37,392,175.807973,140088.6281,0.287281123,3.246428916,719.1934674,0,13.52999973,0.399999976,12.769,0.760999733,0.895663695,1,0.895663695,17762.40871,8,13.625,-5.5,0.892129841,TRUE
18619,-145.5470157,57.93476731,1,MDO1,MDO1,8/19/2018 21:45,231,17762.90459,2018,1,8/19/2018 13:34,8/20/2018 5:57,622.1851539,-247.4704196,-5.6,38,119,125.5680644,81450.85074,0.181179491,1.897532757,715.4101419,0,13.88999939,0.379999995,12.769,1.12099939,0.874653022,1,0.874653022,17762.90676,8,13.83999968,-5.425,0.874653022,TRUE
19145,-146.1384935,58.01826324,1,MDO1,MDO1,8/20/2018 9:47,232,17763.40847,2018,2,8/20/2018 6:00,8/20/2018 13:35,-78.0481007,51.30576922,-5.75,39,145,-167.1886927,160928.4939,0.155825351,3.713353217,722.2963743,0,13.61999989,0.379999995,12.494,1.125999886,0.871443433,0.981925393,0.855692435,17763.40832,8,13.38000011,-5.06,0.884677544,TRUE
19934,-145.8675347,57.79442394,1,MDO1,MDO1,8/20/2018 21:46,232,17763.90677,2018,1,8/20/2018 14:08,8/21/2018 5:25,2015.231382,-1892.494662,-2.16,40,434,45.53610966,108284.9366,0.234261861,2.525247496,714.6820048,0,13.94999981,0.379999995,12.494,1.455999809,0.83990477,1,0.83990477,17763.90748,8,13.54999924,-5,0.869216815,TRUE
20373,-146.6075785,57.69500678,1,MDO1,MDO1,8/21/2018 9:49,233,17764.41028,2018,2,8/21/2018 5:54,8/21/2018 13:44,-117.7309476,-26.01764008,-5.43,41,373,-131.6213619,184132.7461,0.260284512,4.209073184,729.1104164,0,13.89999962,0.140000001,11.955,1.944999619,0.819540067,1,0.819540067,17764.40945,8,13.2949996,-4.6,0.872805646,TRUE
20997,-146.847638,57.85662366,1,MDO1,MDO1,8/21/2018 21:50,233,17764.90896,2018,1,8/21/2018 13:47,8/22/2018 5:53,128.624424,56.73361058,-5.31,42,497,70.33017781,49068.41034,0.209051619,1.140972791,716.7627883,0,13.71999931,0.140000001,11.955,1.764999313,0.847414481,1,0.847414481,17764.91003,8,13.20499992,-4.55,0.880248417,TRUE
21042,-145.0625205,57.77283079,1,MDO1,MDO1,8/22/2018 9:43,234,17765.40379,2018,2,8/22/2018 5:43,8/22/2018 13:42,-532.1875366,739.7433168,-5.2,43,42,0.455954041,345537.3076,0.393805502,8.001999736,719.6894922,0,14.14999962,0.119999997,11.727,2.422999619,0.740083499,0.808300665,0.598209984,17765.40499,8,13.80999947,-5.38,0.781369642,TRUE
21605,-146.8189134,58.57768756,1,MDO1,MDO1,8/22/2018 21:50,234,17765.91077,2018,1,8/22/2018 13:31,8/23/2018 6:08,79.69014798,-251.6173646,-6.88,44,105,-8.696867013,302312.2639,0.330620331,6.968807304,723.0129218,0,12.80999947,0.119999997,11.727,1.082999466,0.939239482,0.796899488,0.748479462,17765.90978,8,13.23999977,-6.02,0.851745109,TRUE
22096,-148.0798477,58.45812054,1,MDO1,MDO1,8/23/2018 9:54,235,17766.41776,2018,2,8/23/2018 5:54,8/23/2018 13:55,-1096.258288,306.9312947,-5.02,45,96,-160.3440029,219120.0865,0.178187668,5.037803139,724.9194423,0,12.86999989,0.159999996,12.981,-0.111000114,0.983675167,0.308620735,0.303582553,17766.41319,8,13.03999996,-5.05,0.945713678,TRUE
22779,-148.1927535,57.92033492,1,MDO1,MDO1,8/23/2018 21:55,235,17766.91432,2018,1,8/23/2018 13:48,8/24/2018 6:02,-108.0557647,-49.9197837,-6.28,46,279,77.21173387,70219.49607,0.272068776,1.636253351,715.2467762,0,13.09000015,0.149999991,12.981,0.109000153,0.986796444,1,0.986796444,17766.91341,8,13.09000015,-5.255,0.967357729,TRUE
23073,-146.8651108,58.39518246,1,MDO1,MDO1,8/24/2018 9:49,236,17767.40916,2018,2,8/24/2018 5:57,8/24/2018 13:42,-337.2890999,419.1874562,-6.23,47,73,74.87546701,217758.4248,0.372080502,5.144420145,705.4841903,0,12.89999962,0.140000001,13.187,-0.287000381,0.989579203,1,0.989579203,17767.40963,8,13.21000004,-5.89,0.967140394,TRUE
23869,-146.0799294,58.32927641,1,MDO1,MDO1,8/24/2018 21:46,236,17767.90753,2018,1,8/24/2018 13:49,8/25/2018 5:44,827.4713097,-857.4515682,-5.31,48,369,30.49922052,446626.0752,0.519434234,10.56763752,704.3928132,0,13.55999947,0.140000001,13.187,0.372999466,0.986770043,0.623819466,0.615566361,17767.90736,8,13.47999954,-5.72,0.965638214,TRUE
24251,-146.513021,58.30330349,1,MDO1,MDO1,8/25/2018 9:48,237,17768.40756,2018,2,8/25/2018 5:50,8/25/2018 13:45,-479.3196454,634.7951667,-5.99,49,251,-73.57242611,144218.062,0.3647473,3.295806627,729.3007868,0,13.38999939,0.159999996,13.068,0.32199939,0.97924047,1,0.97924047,17768.40846,8,13.35999966,-5.98,0.961771818,TRUE
24927,-145.8587608,58.43875672,1,MDO1,MDO1,8/25/2018 21:45,237,17768.90584,2018,1,8/25/2018 13:43,8/26/2018 5:47,473.815622,-351.1765668,-6.08,50,427,154.4754643,228730.3766,0.353962917,5.345817159,713.1132305,0,13.57999992,0.159999996,13.068,0.511999924,0.971596238,1,0.971596238,17768.90655,8,13.46000004,-5.875,0.955098571,TRUE
25490,-147.4683292,57.84670234,1,MDO1,MDO1,8/26/2018 9:51,238,17769.41072,2018,2,8/26/2018 5:50,8/26/2018 13:52,-178.5665171,214.007879,-6.14,51,490,-45.92191051,76932.94018,0.502109012,1.772038891,723.582127,0,12.97999954,0.459999979,12.437,0.542999542,0.888528775,1,0.888528775,17769.41092,8,13.29999924,-5.48,0.877957843,TRUE
25772,-146.2456784,57.84811312,1,MDO1,MDO1,8/26/2018 21:46,238,17769.90687,2018,1,8/26/2018 13:51,8/27/2018 5:41,120.4636265,-23.65419648,-5.91,52,272,164.5017387,306184.6901,0.382660734,7.143670549,714.3495956,0,13.75999928,0.449999988,12.437,1.322999275,0.838757755,0.997096402,0.83632234,17769.90743,8,13.63999939,-5.01,0.84572484,TRUE
26412,-146.1966207,57.81555296,1,MDO1,MDO1,8/27/2018 9:46,239,17770.40691,2018,2,8/27/2018 5:45,8/27/2018 13:47,183.2852521,-134.1985722,-6.5,53,412,-26.77462187,138795.2199,0.184758337,3.194820436,724.0637499,0,13.46999931,0.370000005,11.842,1.627999313,0.825342503,1,0.825342503,17770.40719,8,13.54999924,-5.24,0.788028062,TRUE
26873,-145.4945616,57.58797213,1,MDO1,MDO1,8/27/2018 21:43,239,17770.90392,2018,1,8/27/2018 14:11,8/28/2018 5:15,1314.740322,-1102.966707,-3.57,54,373,178.4197219,150552.9434,0.15537518,3.487069212,719.5772638,0,13.71000004,0.389999986,11.842,1.868000038,0.792488419,1,0.792488419,17770.90514,8,13.63000011,-4.92,0.76621771,TRUE
27342,-144.7244869,57.83331277,1,MDO1,MDO1,8/28/2018 9:40,240,17771.39912,2018,2,8/28/2018 5:28,8/28/2018 13:51,-316.9501574,970.4592957,-5.55,55,342,100.7114949,88685.54831,0.180903906,2.070194596,713.9872137,0,14.50999928,0.109999999,12.675,1.834999275,0.842067408,1,0.842067408,17771.4029,8,14.03999996,-5.67,0.867034764,TRUE
27608,-145.5795035,58.27757495,1,MDO1,MDO1,8/28/2018 21:43,240,17771.90955,2018,1,8/28/2018 13:43,8/29/2018 5:43,483.3766544,-1239.515853,-6.82,56,108,-123.0355206,77876.22254,0.206056727,1.79198361,724.3018491,0,14.34999943,0.109999999,12.675,1.674999428,0.866558363,1,0.866558363,17771.90517,8,13.68999958,-6.34,0.882380647,TRUE
28292,-145.7367519,58.77597856,1,MDO1,MDO1,8/29/2018 9:43,241,17772.40743,2018,2,8/29/2018 5:39,8/29/2018 13:48,-1476.903842,1144.496192,-6.21,57,292,166.4034765,205318.5347,0.278017597,4.775863644,716.5145057,0,13.78999996,0.109999999,13.687,0.102999962,0.999458562,1,0.999458562,17772.40551,8,13.5449996,-6.38,0.955190733,TRUE
28882,-145.0617473,58.84040783,1,MDO1,MDO1,8/29/2018 21:41,241,17772.90039,2018,1,8/29/2018 13:53,8/30/2018 5:28,1435.053771,-892.4912983,-5.48,58,382,97.30508573,225869.7478,0.315691101,5.344839651,704.3234302,0,14.22999954,0.109999999,13.687,0.542999542,0.985060828,1,0.985060828,17772.90353,8,13.90999985,-6.22,0.967859641,TRUE
29239,-145.9786564,58.5954581,1,MDO1,MDO1,8/30/2018 9:44,242,17773.40742,2018,2,8/30/2018 5:35,8/30/2018 13:53,-454.7494998,204.0796106,-6.17,59,239,-162.9983742,157243.9081,0.236525044,3.62475221,723.0099192,0,13.71999931,0.109999999,13.656,0.063999313,0.999790927,1,0.999790927,17773.40597,8,13.94499969,-5.825,0.965189583,TRUE
29784,-146.1656003,58.35177914,1,MDO1,MDO1,8/30/2018 21:45,242,17773.90591,2018,1,8/30/2018 13:51,8/31/2018 5:38,116.172331,-34.64307959,-6.7,60,284,-167.7137945,183406.5902,0.168718255,4.230765197,722.5114988,0,13.64999962,0.109999999,13.656,-0.006000381,0.999998162,0.815890201,0.815888702,17773.90638,8,13.82999992,-5.7,0.961871233,TRUE
30087,-146.2201456,58.51303682,1,MDO1,MDO1,8/31/2018 9:45,243,17774.40595,2018,2,8/31/2018 5:31,8/31/2018 13:59,-480.1100434,562.2476666,-5.9,61,87,-36.95951806,79422.86798,0.225904939,1.830555347,723.1217939,0,12.27999973,0.119999997,12.208,0.071999733,0.996552799,1,0.996552799,17774.40642,8,13.23999977,-5.92,0.929712081,TRUE
30542,-146.846452,58.64675278,1,MDO1,MDO1,8/31/2018 21:47,243,17774.90899,2018,1,8/31/2018 13:53,9/1/2018 5:42,189.6885401,-351.5788195,-7,62,42,-144.6130982,187124.0246,0.205320564,4.288054644,727.3073695,0,12.22999954,0.119999997,12.208,0.021999542,0.996790412,1,0.996790412,17774.90806,8,13.23999977,-6.23,0.924245444,TRUE
31077,-147.4035242,58.63878574,1,MDO1,MDO1,9/1/2018 9:49,244,17775.41086,2018,2,9/1/2018 5:37,9/1/2018 14:02,-654.3012029,417.849284,-6.33,63,77,154.5885091,150127.7951,0.137419712,3.497493006,715.4066967,0,12.79999924,0.119999997,13.117,-0.317000763,0.99174673,0.954214056,0.94633867,17775.40949,9,13.25499964,-6.15,0.963388995,TRUE
31520,-146.8029419,58.60210103,1,MDO1,MDO1,9/1/2018 21:47,244,17775.90789,2018,1,9/1/2018 14:05,9/2/2018 5:28,622.3587989,-653.2816083,-5.83,64,20,52.28124297,182351.7776,0.257493243,4.281058565,709.9170094,0,12.46000004,0.119999997,13.117,-0.656999962,0.975226487,1,0.975226487,17775.90771,9,13.32999992,-5.995,0.977994719,TRUE
32200,-146.7869701,58.85239898,1,MDO1,MDO1,9/2/2018 9:46,245,17776.40779,2018,2,9/2/2018 5:37,9/2/2018 13:56,-116.8929034,77.170781,-6.92,65,200,69.67561568,274051.7547,0.294223538,6.506242993,702.0225421,0,12.59000015,0.119999997,13.573,-0.982999847,0.949134202,0.71165834,0.67545927,17776.40756,9,13.38999939,-6.1,0.985088544,TRUE
32876,-146.4774709,58.75386339,1,MDO1,MDO1,9/2/2018 21:45,245,17776.90563,2018,1,9/2/2018 13:59,9/3/2018 5:31,277.5689787,-111.9759273,-6.6,66,376,-40.82866334,219019.6391,0.184560184,5.002279203,729.7328219,0,12.61999989,0.109999999,13.573,-0.953000114,0.954694697,0.415842517,0.397002646,17776.90659,9,13.43999958,-6.01,0.983378635,TRUE
33381,-146.4834735,58.80988728,1,MDO1,MDO1,9/3/2018 9:45,246,17777.40564,2018,2,9/3/2018 5:32,9/3/2018 13:57,-20.52627101,167.3632432,-6.91,67,381,46.03078788,166406.5819,0.207273228,3.897751032,711.54956,0,12.67999935,0.119999997,13.975,-1.295000648,0.915525397,1,0.915525397,17777.40649,9,13.46000004,-6.14,0.976633594,TRUE
33687,-143.6867625,58.09425577,1,MDO1,MDO1,9/3/2018 21:34,246,17777.89568,2018,1,9/3/2018 14:01,9/4/2018 5:06,361.6235143,145.3177656,-5.67,68,187,136.6474025,291711.5014,0.332153833,6.884002892,706.2545488,0,13.63999939,0.109999999,13.975,-0.33500061,0.994287322,0.85037855,0.845520612,17777.89861,9,13.84000015,-4.885,0.979030011,TRUE
34469,-144.7013898,57.4681941,1,MDO1,MDO1,9/4/2018 9:37,247,17778.40109,2018,2,9/4/2018 4:59,9/4/2018 14:16,-282.5127787,320.8112387,-4.69,69,469,48.0917204,242269.6666,0.396263747,5.704619411,707.8172066,0,13.82999992,0.159999996,16.339,-2.509000076,0.720951207,1,0.720951207,17778.40132,9,13.67000008,-4.485,0.679872113,TRUE
34708,-145.0329028,57.29108805,1,MDO1,MDO1,9/4/2018 21:39,247,17778.90294,2018,1,9/4/2018 14:09,9/5/2018 5:08,-62.08253003,-79.40461249,-5.88,70,208,173.9421455,96745.59893,0.357247282,2.242105322,719.1574068,0,13.93999958,0.140000001,16.339,-2.39900042,0.742458657,1,0.742458657,17778.90212,9,13.59999943,-4.925,0.670368256,TRUE
