,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
342,-146.0635481,56.5970713,1,MDO1,MDO1,7/27/2018 9:50,208,17739.4101,2018,2,7/27/2018 6:49,7/27/2018 12:52,-138.3189333,167.0530858,-5.25,1,342,176.8777635,313360.9741,0.616306286,1.063511647,4910.790509,0,12.39999962,0.149999991,12.0085,0.391499619,0.983605672,1,0.983605672,17739.41027,7,12.84499979,-4.44,0.929332709,TRUE
777,-147.1272108,56.8523287,1,MDO1,MDO1,7/27/2018 21:55,208,17739.91378,2018,1,7/27/2018 12:47,7/28/2018 7:02,-102.884711,6.905218052,-5.96,2,277,-93.25382023,95844.42889,0.340767246,2.19947872,726.2662437,0,12.47999954,0.179999992,12.0085,0.471499542,0.973329139,1,0.973329139,17739.91322,7,12.61499977,-4.975,0.91757603,TRUE
1074,-146.8048183,57.21087553,1,MDO1,MDO1,7/28/2018 9:53,209,17740.41162,2018,2,7/28/2018 7:03,7/28/2018 12:44,36.36213462,84.00807975,-5.95,3,74,177.7908374,59762.94028,0.397616616,1.383711606,719.8385849,0,11.05999947,0.219999999,11.781,-0.721000534,0.953053261,1,0.953053261,17740.41232,7,12.44499969,-5.2,0.921360035,TRUE
1635,-148.3296629,57.93953368,1,MDO1,MDO1,7/28/2018 21:59,209,17740.9168,2018,1,7/28/2018 12:46,7/29/2018 7:13,197.0210709,-240.7820858,-5.86,4,135,-24.14603616,440050.456,0.703983628,10.01745981,732.139126,0,11.19999981,0.349999994,11.781,-0.581000191,0.927886836,1,0.927886836,17740.91655,7,11.98499966,-5.355,0.936344896,TRUE
2280,-148.5309034,57.79389969,1,MDO1,MDO1,7/29/2018 10:00,210,17741.41685,2018,2,7/29/2018 7:09,7/29/2018 12:51,-469.1017612,512.2474956,-5.69,5,280,-69.24900895,23652.02301,0.487370696,0.546382294,721.4735688,0,11.50999928,0.239999995,12.175,-0.665000725,0.950773531,1,0.950773531,17741.41709,7,12.10999966,-5.33,0.921743126,TRUE
2716,-149.0835399,57.99299387,1,MDO1,MDO1,7/29/2018 22:02,210,17741.91987,2018,1,7/29/2018 12:42,7/30/2018 7:23,-60.32781369,-156.4284359,-6.63,6,216,-83.50402591,209398.0263,0.151989678,4.754340869,734.0590845,0,12.50999928,0.229999989,12.175,0.334999275,0.964350517,0.184393455,0.177819924,17741.91862,7,12.10499954,-5.865,0.919942172,TRUE
3174,-149.0267404,58.30507394,1,MDO1,MDO1,7/30/2018 10:02,211,17742.41851,2018,2,7/30/2018 7:26,7/30/2018 12:38,43.97038188,-54.42667206,-6.78,7,174,147.0279558,115649.9532,0.207869662,2.69321558,715.6869412,0,12.85999966,0.179999992,13.433,-0.573000343,0.969607022,1,0.969607022,17742.41845,7,12.00999928,-6,0.885385481,TRUE
3527,-149.0159321,58.4816549,1,MDO1,MDO1,7/30/2018 22:02,211,17742.91879,2018,1,7/30/2018 12:42,7/31/2018 7:22,210.4566418,-276.9808865,-6.4,8,27,9.670526784,171938.1139,0.228906913,3.991152421,717.9969415,0,12.28999996,0.189999998,13.433,-1.143000038,0.933657731,1,0.933657731,17742.9184,7,12.06999969,-5.99,0.888920846,TRUE
4430,-147.9640679,58.85132014,1,MDO1,MDO1,7/31/2018 9:58,212,17743.41531,2018,2,7/31/2018 7:25,7/31/2018 12:31,-109.505702,135.2183177,-6.77,9,430,16.8570052,222424.1989,0.229979586,5.181038503,715.5071285,0,11.59999943,0.170000002,11.969,-0.369000572,0.981652697,0.858424411,0.842674639,17743.41546,7,12.03999996,-6.15,0.957259515,TRUE
4655,-146.6883648,58.74302519,1,MDO1,MDO1,7/31/2018 21:53,212,17743.90809,2018,1,7/31/2018 12:42,8/1/2018 7:04,767.7234977,-109.563145,-5.72,10,155,67.1746484,205256.3078,0.218073266,4.839362389,706.8985929,0,11.22999954,0.170000002,11.969,-0.739000458,0.967138551,0.932660839,0.902012252,17743.9119,7,12.02999973,-5.52,0.943813781,TRUE
5342,-147.2083644,58.54790107,1,MDO1,MDO1,8/1/2018 9:55,213,17744.4133,2018,2,8/1/2018 6:57,8/1/2018 12:52,-501.9829883,506.2327794,-5.25,11,342,105.0123128,241536.8471,0.259582696,5.718724566,703.9356543,0,11.22999954,0.229999989,13.433,-2.203000458,0.818414234,0.831533064,0.680538496,17744.41332,8,12.2699995,-5.06,0.908973699,TRUE
5512,-146.9382794,58.55451884,1,MDO1,MDO1,8/1/2018 21:54,213,17744.91193,2018,1,8/1/2018 12:47,8/2/2018 7:00,221.7099015,-115.1976126,-5.68,12,12,-143.4649693,33167.66385,0.250734921,0.766361123,721.3236433,0,11.07999992,0.229999989,13.433,-2.353000076,0.798968614,1,0.798968614,17744.91255,8,12.25,-5.225,0.89763944,TRUE
6256,-145.8655808,58.59430698,1,MDO1,MDO1,8/2/2018 9:49,214,17745.40846,2018,2,8/2/2018 6:57,8/2/2018 12:41,-273.2358189,460.7705559,-5.91,13,256,99.87036604,46684.27084,0.365761281,1.085475623,716.8020764,0,11.25,0.280000001,13.562,-2.312,0.799907259,1,0.799907259,17745.40955,8,12.13999939,-5.67,0.877018878,TRUE
6972,-144.4408259,58.18327433,1,MDO1,MDO1,8/2/2018 21:44,214,17745.90462,2018,1,8/2/2018 12:43,8/3/2018 6:44,550.4883609,-387.2106467,-5.71,14,472,45.85508629,475427.0398,0.540788028,11.37250995,696.7489177,0,10.84999943,0.179999992,13.562,-2.712000572,0.756283556,0.452786793,0.342435206,17745.90556,8,12.28499985,-5.41,0.893670176,TRUE
7160,-147.0343879,57.98541033,1,MDO1,MDO1,8/3/2018 9:54,215,17746.41466,2018,2,8/3/2018 6:45,8/3/2018 13:03,-328.066171,-4.381648057,-5.12,15,160,-159.8848302,215235.3217,0.366271912,4.948177247,724.9650086,0,13,0.25999999,13.989,-0.989,0.928528114,1,0.928528114,17746.41274,8,12.95499992,-4.39,0.893137789,TRUE
7857,-147.2386597,57.86855654,1,MDO1,MDO1,8/3/2018 21:55,215,17746.91987,2018,1,8/3/2018 13:01,8/4/2018 6:49,-126.5488203,-1013.019447,-5.59,16,357,-143.5356355,80145.62009,0.022332223,1.847098059,723.1669853,0,13.10999966,0.280000001,13.989,-0.879000343,0.930522964,0.733868675,0.682881655,17746.91328,8,12.81999969,-4.86,0.870167118,TRUE
8054,-147.6638975,57.89191273,1,MDO1,MDO1,8/4/2018 9:56,216,17747.41851,2018,2,8/4/2018 6:53,8/4/2018 12:59,-731.9164447,26.97693472,-5.97,17,54,166.7300549,13594.84942,0.093547712,0.314807002,719.7451847,0,11.88000011,0.189999998,12.895,-1.014999886,0.942974376,1,0.942974376,17747.41443,8,12.38000011,-5.485,0.907390426,TRUE
8598,-146.4025545,57.9790059,1,MDO1,MDO1,8/4/2018 21:51,216,17747.90863,2018,1,8/4/2018 13:04,8/5/2018 6:38,317.312964,73.56730592,-5.11,18,98,-165.6106539,248356.3698,0.208279065,5.716253412,724.1233956,0,13.30999947,0.170000002,12.895,0.414999466,0.977688323,0.242514416,0.237103512,17747.91089,8,13.21000004,-4.37,0.935734331,TRUE
9192,-144.0241887,58.01537856,1,MDO1,MDO1,8/5/2018 9:42,217,17748.40168,2018,2,8/5/2018 6:33,8/5/2018 12:50,-252.7974263,696.2168596,-5.59,19,192,65.79316284,124947.5332,0.345066319,2.923824007,712.2381104,0,14.13999939,0.119999997,14.094,0.04599939,0.997188662,1,0.997188662,17748.40425,8,13.67000008,-5.38,0.937668676,TRUE
9642,-145.5595309,58.91264943,1,MDO1,MDO1,8/5/2018 21:48,217,17748.90983,2018,1,8/5/2018 12:46,8/6/2018 6:49,439.2201558,-672.2462044,-6.01,20,142,11.81991447,159809.3204,0.673178445,3.711274653,717.6749021,0,12.92000008,0.229999989,14.094,-1.173999924,0.922332608,1,0.922332608,17748.90848,8,13.21000004,-5.965,0.92507109,TRUE
10487,-149.2453754,57.86951073,1,MDO1,MDO1,8/6/2018 10:02,218,17749.41987,2018,2,8/6/2018 6:53,8/6/2018 13:11,-431.4304262,225.1098455,-5.92,21,487,-85.33344167,188865.5715,0.651127917,4.296481556,732.6365732,0,11.94999981,0.179999992,12.375,-0.425000191,0.974796605,1,0.974796605,17749.41868,8,12.13499975,-5.51,0.965063665,TRUE
10775,-144.4865118,57.44486652,1,MDO1,MDO1,8/6/2018 21:43,218,17749.90299,2018,1,8/6/2018 13:14,8/7/2018 6:13,368.7876941,51.37165574,-4.22,22,275,82.31433737,383699.167,0.522899595,9.207033984,694.5761389,0,13.71999931,0.140000001,12.375,1.344999313,0.92774982,0.999989698,0.927740262,17749.90542,8,13.13999939,-3.36,0.93239422,TRUE
11453,-145.4448145,56.17406815,1,MDO1,MDO1,8/7/2018 9:47,219,17750.40805,2018,2,8/7/2018 6:13,8/7/2018 13:21,71.43449414,-72.78524323,-4.79,23,453,-113.8888958,131093.5618,0.697735936,3.002627784,727.6601878,0,14.21000004,0.170000002,12.167,2.043000038,0.845385562,1,0.845385562,17750.40804,8,13.23999977,-3.68,0.927306182,TRUE
11599,-148.3988046,56.63543085,1,MDO1,MDO1,8/7/2018 21:59,219,17750.91675,2018,1,8/7/2018 13:24,8/8/2018 6:33,125.5633505,-219.7249817,-5.52,24,99,-6.693697966,363275.3483,0.706640121,8.377786005,722.6956066,0,13.17000008,0.149999991,12.167,1.003000076,0.953275782,1,0.953275782,17750.9162,8,12.84999943,-4.725,0.954804444,TRUE
12464,-146.5956742,57.1815451,1,MDO1,MDO1,8/8/2018 9:52,220,17751.40986,2018,2,8/8/2018 6:36,8/8/2018 13:07,-53.45682429,276.5445716,-6.29,25,464,142.0469578,110867.6437,0.460482293,2.582787944,715.4261606,0,14.14999962,0.119999997,12.625,1.524999619,0.914331457,1,0.914331457,17751.41115,8,13.57999992,-5.39,0.938316618,TRUE
12950,-147.9559383,57.98311808,1,MDO1,MDO1,8/8/2018 21:57,220,17751.91672,2018,1,8/8/2018 13:14,8/9/2018 6:40,697.3804702,-1016.206828,-5.72,26,450,53.15999211,266801.0565,0.319627251,6.302961592,705.4912536,0,13.38000011,0.119999997,12.625,0.755000114,0.976268271,0.978926508,0.95569489,17751.91488,8,13.25,-5.925,0.952801443,TRUE
13272,-147.3473486,58.74175365,1,MDO1,MDO1,8/9/2018 9:54,221,17752.41344,2018,2,8/9/2018 6:52,8/9/2018 12:57,-302.3848789,251.116426,-6.66,27,272,123.1572552,100373.4381,0.35158297,2.3425693,714.1264229,0,13.13000011,0.119999997,13.144,-0.013999886,0.997260143,1,0.997260143,17752.41314,8,13.53999996,-6.13,0.975282595,TRUE
13805,-146.3958115,58.66137282,1,MDO1,MDO1,8/9/2018 21:51,221,17752.9083,2018,1,8/9/2018 13:08,8/10/2018 6:33,883.8164766,-512.5094546,-5.52,28,305,139.3996464,170769.3046,0.210176932,3.995902641,712.268374,0,13.46000004,0.129999995,13.144,0.316000038,0.990869034,1,0.990869034,17752.91045,8,13.69999981,-5.7,0.969672464,TRUE
14432,-146.0149286,58.77609909,1,MDO1,MDO1,8/10/2018 9:49,222,17753.40473,2018,2,8/10/2018 6:40,8/10/2018 12:58,-114.2364619,909.8981212,-6.34,29,432,-102.2489871,100109.4627,0.163683598,2.296012099,726.6908768,0,13.69999981,0.149999991,13,0.699999809,0.971515425,1,0.971515425,17753.40934,8,13.67999935,-5.94,0.962090448,TRUE
14570,-144.7380904,58.32632719,1,MDO1,MDO1,8/10/2018 21:44,222,17753.89609,2018,1,8/10/2018 13:14,8/11/2018 6:14,1862.746644,-195.8697866,-4.75,30,70,80.81844299,187416.3646,0.165308753,4.416307657,707.2890566,0,14.38999939,0.119999997,13,1.38999939,0.927864027,0.615216606,0.570837358,17753.90574,8,13.85999966,-4.43,0.946947986,TRUE
15098,-145.1701282,58.39074453,1,MDO1,MDO1,8/11/2018 9:45,223,17754.40688,2018,2,8/11/2018 6:15,8/11/2018 13:16,-153.6459876,154.2961112,-4.74,31,98,-124.8328983,209409.3551,0.209920602,4.770066258,731.6787085,0,14.21000004,0.140000001,13.234,0.976000038,0.957561947,0.903071552,0.864746954,17754.40688,8,13.88999939,-4.145,0.961218822,TRUE
15828,-146.6076166,58.12835767,1,MDO1,MDO1,8/11/2018 21:51,223,17754.91198,2018,1,8/11/2018 13:12,8/12/2018 6:30,-79.02019777,-121.5571467,-6.01,32,328,-55.10750139,237608.9738,0.246307318,5.401542399,733.1516205,0,13.63999939,0.140000001,13.234,0.40599939,0.985827526,0.883996627,0.871468208,17754.91082,8,13.7699995,-5.185,0.968093099,TRUE
16460,-146.3613145,58.06701811,1,MDO1,MDO1,8/12/2018 9:50,224,17755.40987,2018,2,8/12/2018 6:30,8/12/2018 13:10,-93.82350227,129.1799538,-6.33,33,460,-25.9048402,29467.84795,0.245526773,0.681379449,720.7889814,0,13.82999992,0.140000001,12.868,0.961999924,0.958521889,1,0.958521889,17755.41008,8,13.72999954,-5.57,0.955389763,TRUE
16594,-145.8665482,58.12478046,1,MDO1,MDO1,8/12/2018 21:48,224,17755.90772,2018,1,8/12/2018 13:11,8/13/2018 6:25,198.0730292,-38.39961587,-6.12,34,94,-110.9425654,326797.3866,0.283107238,7.353862112,740.647979,0,13.77999973,0.399999976,12.868,0.911999733,0.904365797,0.159778322,0.144498049,17755.90864,8,13.67999935,-5.38,0.904637263,TRUE
17033,-146.1201833,58.00892889,1,MDO1,MDO1,8/13/2018 9:49,225,17756.40941,2018,2,8/13/2018 6:21,8/13/2018 13:17,-290.0205784,268.8742161,-5.81,35,33,120.6653455,192064.2189,0.301371591,4.516612925,708.7324878,0,13.5,0.199999988,12.923,0.577,0.96438484,1,0.96438484,17756.40929,8,13.30999947,-5.47,0.955027075,TRUE
17582,-146.1416754,58.04632657,1,MDO1,MDO1,8/13/2018 21:49,225,17756.90969,2018,1,8/13/2018 13:26,8/14/2018 6:12,789.8367616,-859.735293,-5.04,36,82,161.94011,193616.7218,0.174367542,4.507887558,715.8442446,0,13.34999943,0.199999988,12.923,0.426999428,0.969591663,0.671083499,0.650676965,17756.90928,8,13.34999943,-5.445,0.950256219,TRUE
18224,-146.7314638,58.21430886,1,MDO1,MDO1,8/14/2018 9:51,226,17757.41184,2018,2,8/14/2018 6:26,8/14/2018 13:16,-16.130874,-153.9812002,-6.27,37,224,-114.6095786,98893.10071,0.172263754,2.270192658,726.0257578,0,12.79999924,0.149999991,12.463,0.336999237,0.985041109,1,0.985041109,17757.41086,8,12.92999935,-5.26,0.962283389,TRUE
18824,-148.0001318,58.30277986,1,MDO1,MDO1,8/14/2018 21:56,226,17757.91677,2018,1,8/14/2018 13:15,8/15/2018 6:37,-240.9336014,-183.6621432,-7,38,324,-95.28300321,68898.67772,0.196460738,1.584786433,724.584254,0,12.21000004,0.140000001,12.463,-0.252999962,0.989505088,1,0.989505088,17757.91431,8,12.55000019,-5.95,0.962353857,TRUE
19356,-147.198697,58.86048437,1,MDO1,MDO1,8/15/2018 9:53,227,17758.41156,2018,2,8/15/2018 6:29,8/15/2018 13:16,-684.5686374,763.6853023,-6.27,39,356,92.25229844,221004.7683,0.249575731,5.227743305,704.5894547,0,12.55999947,0.119999997,12.519,0.040999466,0.999937244,0.972071957,0.972010954,17758.41202,8,12.72999954,-6.29,0.966912091,TRUE
19833,-146.3360565,58.83136767,1,MDO1,MDO1,8/15/2018 21:49,227,17758.90673,2018,1,8/15/2018 13:08,8/16/2018 6:30,268.2229645,220.7237035,-6.9,40,333,8.220321947,116427.3394,0.291703716,2.699775035,718.7471665,0,13.29999924,0.129999995,12.519,0.780999237,0.974941913,1,0.974941913,17758.90955,8,13.11499977,-5.92,0.954872829,TRUE
20471,-147.3112773,58.5750549,1,MDO1,MDO1,8/16/2018 9:53,228,17759.41325,2018,2,8/16/2018 6:24,8/16/2018 13:23,-183.8394746,0.827809518,-6.16,41,471,-143.0354395,218984.8979,0.311165005,5.006850739,728.9508892,0,12.75999928,0.119999997,12.838,-0.078000725,0.99704094,1,0.99704094,17759.41219,8,12.88000011,-5.53,0.982031148,TRUE
20673,-147.1298077,58.50833837,1,MDO1,MDO1,8/16/2018 21:52,228,17759.91156,2018,1,8/16/2018 13:26,8/17/2018 6:18,208.4589617,-199.1093246,-5.92,42,173,-85.07336914,153082.9107,0.205037251,3.493309283,730.3624268,0,12.75999928,0.119999997,12.838,-0.078000725,0.99704094,1,0.99704094,17759.91162,8,12.88999939,-5.41,0.982947385,TRUE
21189,-145.6452204,58.79685289,1,MDO1,MDO1,8/17/2018 9:46,229,17760.40156,2018,2,8/17/2018 6:23,8/17/2018 13:09,71.25667823,940.7348785,-6.93,43,189,125.3302792,191341.3369,0.285707017,4.497325405,709.0930707,0,13.38999939,0.119999997,13.175,0.21499939,0.995547866,1,0.995547866,17760.40742,8,13.39999962,-6.135,0.975714442,TRUE
21629,-143.699048,58.81773416,1,MDO1,MDO1,8/17/2018 21:38,229,17760.89941,2018,1,8/17/2018 13:05,8/18/2018 6:11,698.8610869,-261.7621233,-6.69,44,129,130.2383231,85694.62606,0.390933658,1.996529581,715.3631889,0,13.88000011,0.119999997,13.175,0.705000114,0.978932635,1,0.978932635,17760.90194,8,13.84000015,-6.215,0.967218015,TRUE
22338,-148.974619,57.55593082,1,MDO1,MDO1,8/18/2018 9:59,230,17761.41977,2018,2,8/18/2018 6:08,8/18/2018 13:50,-429.2676387,-132.4533531,-5.08,45,338,-106.7014215,401370.623,0.560967602,8.971847242,745.6112664,0,13.25,0.189999998,13.646,-0.396,0.97304932,1,0.97304932,17761.41652,8,12.72999954,-4.19,0.903587522,TRUE
22628,-146.962828,57.2513673,1,MDO1,MDO1,8/18/2018 21:51,230,17761.90972,2018,1,8/18/2018 13:56,8/19/2018 5:47,198.1308771,-3.053219535,-3.85,46,128,178.5669319,109158.0964,0.472760457,2.527838667,719.7063761,0,13.31999969,0.199999988,13.646,-0.326000305,0.972231749,1,0.972231749,17761.91085,8,13.02999973,-3.23,0.963439159,TRUE
23432,-146.0821952,56.90295969,1,MDO1,MDO1,8/19/2018 9:47,231,17762.40846,2018,2,8/19/2018 5:46,8/19/2018 13:49,-50.88700912,27.16054797,-4.49,47,432,-165.9750364,197977.7619,0.286455768,4.56358378,723.0346859,0,13.88000011,0.280000001,12.608,1.272000114,0.903950941,1,0.903950941,17762.40832,8,13.28499937,-3.6,0.911552163,TRUE
23504,-146.2700325,56.94959456,1,MDO1,MDO1,8/19/2018 21:48,231,17762.90859,2018,1,8/19/2018 14:03,8/20/2018 5:33,856.1868037,-825.1516711,-3.07,48,4,-172.5557496,137143.8106,0.224963882,3.169998466,721.0508778,0,13.94999981,0.299999982,12.608,1.341999809,0.894194067,1,0.894194067,17762.90876,8,13.19499969,-3.975,0.913171193,TRUE
